time,close,contrast,sellprice,buyprice,volume,cum_vol,cum_vol_price,open,high,low,contrast_sig,contrast_vol,contrast_vol_price,tr_cost,mkt_cap,mkt_type,KO,change_ratio,contrast_vol_ratio,vol_cycle,tr_str
12:59:10,2821000,-17000,2822000,2821000,-1,79526,224813,2846000,2846000,2808000,5,-90878,-2.57586E+11,9339,3641869,2,0,-0.6,-46.67,0.06,75.05
12:59:13,2821000,-17000,2822000,2821000,-1,79527,224815,2846000,2846000,2808000,5,-90877,-2.57584E+11,9339,3641869,2,0,-0.6,-46.67,0.06,75.05
12:59:14,2821000,-17000,2822000,2821000,-20,79547,224872,2846000,2846000,2808000,5,-90857,-2.57527E+11,9339,3641869,2,0,-0.6,-46.68,0.06,75.01
12:59:15,2821000,-17000,2822000,2821000,-1,79548,224875,2846000,2846000,2808000,5,-90856,-2.57524E+11,9339,3641869,2,0,-0.6,-46.68,0.06,75.01
12:59:17,2821000,-17000,2822000,2821000,-5,79553,224889,2846000,2846000,2808000,5,-90851,-2.5751E+11,9339,3641869,2,0,-0.6,-46.68,0.06,75
12:59:20,2821000,-17000,2822000,2821000,-1,79554,224892,2846000,2846000,2808000,5,-90850,-2.57507E+11,9339,3641869,2,0,-0.6,-46.69,0.06,74.99
12:59:20,2821000,-17000,2822000,2821000,-1,79555,224894,2846000,2846000,2808000,5,-90849,-2.57505E+11,9339,3641869,2,0,-0.6,-46.69,0.06,74.99
12:59:20,2821000,-17000,2822000,2821000,-2,79557,224900,2846000,2846000,2808000,5,-90847,-2.57499E+11,9339,3641869,2,0,-0.6,-46.69,0.06,74.99
12:59:25,2821000,-17000,2822000,2821000,-1,79558,224903,2846000,2846000,2808000,5,-90846,-2.57496E+11,9339,3641869,2,0,-0.6,-46.69,0.06,74.99
12:59:25,2821000,-17000,2822000,2821000,-2,79560,224908,2846000,2846000,2808000,5,-90844,-2.57491E+11,9339,3641869,2,0,-0.6,-46.69,0.06,74.98
12:59:25,2821000,-17000,2822000,2821000,-1,79561,224911,2846000,2846000,2808000,5,-90843,-2.57488E+11,9339,3641869,2,0,-0.6,-46.69,0.06,74.98
12:59:26,2821000,-17000,2822000,2821000,-10,79571,224940,2846000,2846000,2808000,5,-90833,-2.5746E+11,9339,3641869,2,0,-0.6,-46.7,0.06,74.96
12:59:26,2821000,-17000,2822000,2821000,-10,79581,224968,2846000,2846000,2808000,5,-90823,-2.57431E+11,9339,3641869,2,0,-0.6,-46.7,0.06,74.94
12:59:26,2821000,-17000,2822000,2821000,-10,79591,224996,2846000,2846000,2808000,5,-90813,-2.57403E+11,9339,3641869,2,0,-0.6,-46.71,0.06,74.92
12:59:26,2821000,-17000,2821000,2820000,-3,79594,225004,2846000,2846000,2808000,5,-90810,-2.57395E+11,9339,3641869,2,0,-0.6,-46.71,0.06,74.92
12:59:27,2820000,-18000,2821000,2820000,-90,79684,225258,2846000,2846000,2808000,5,-90720,-2.57141E+11,9336,3640578,2,0,-0.63,-46.76,0.06,74.75
12:59:27,2820000,-18000,2821000,2820000,-15,79699,225300,2846000,2846000,2808000,5,-90705,-2.57099E+11,9336,3640578,2,0,-0.63,-46.77,0.06,74.72
12:59:27,2821000,-17000,2821000,2820000,3,79702,225309,2846000,2846000,2808000,5,-90702,-2.5709E+11,9339,3641869,2,0,-0.6,-46.77,0.06,74.73
12:59:35,2820000,-18000,2821000,2820000,-20,79722,225365,2846000,2846000,2808000,5,-90682,-2.57034E+11,9336,3640578,2,0,-0.63,-46.78,0.06,74.69
12:59:37,2820000,-18000,2821000,2820000,-4,79726,225377,2846000,2846000,2808000,5,-90678,-2.57022E+11,9336,3640578,2,0,-0.63,-46.79,0.06,74.68
12:59:44,2820000,-18000,2821000,2820000,-1,79727,225379,2846000,2846000,2808000,5,-90677,-2.5702E+11,9336,3640578,2,0,-0.63,-46.79,0.06,74.68
12:59:49,2820000,-18000,2821000,2820000,-1,79728,225382,2846000,2846000,2808000,5,-90676,-2.57017E+11,9336,3640578,2,0,-0.63,-46.79,0.06,74.68
12:59:49,2820000,-18000,2821000,2820000,-4,79732,225394,2846000,2846000,2808000,5,-90672,-2.57005E+11,9336,3640578,2,0,-0.63,-46.79,0.06,74.67
12:59:55,2820000,-18000,2821000,2820000,-1,79733,225396,2846000,2846000,2808000,5,-90671,-2.57003E+11,9336,3640578,2,0,-0.63,-46.79,0.06,74.67
12:59:55,2820000,-18000,2821000,2820000,-1,79734,225399,2846000,2846000,2808000,5,-90670,-2.57E+11,9336,3640578,2,0,-0.63,-46.79,0.06,74.67
12:59:56,2820000,-18000,2821000,2820000,-1,79735,225402,2846000,2846000,2808000,5,-90669,-2.56997E+11,9336,3640578,2,0,-0.63,-46.79,0.06,74.67
12:59:57,2820000,-18000,2821000,2820000,-20,79755,225458,2846000,2846000,2808000,5,-90649,-2.56941E+11,9336,3640578,2,0,-0.63,-46.8,0.06,74.63
12:59:57,2820000,-18000,2821000,2820000,-30,79785,225543,2846000,2846000,2808000,5,-90619,-2.56856E+11,9336,3640578,2,0,-0.63,-46.82,0.06,74.57
12:59:57,2820000,-18000,2821000,2820000,-2,79787,225549,2846000,2846000,2808000,5,-90617,-2.5685E+11,9336,3640578,2,0,-0.63,-46.82,0.06,74.57
12:59:57,2820000,-18000,2821000,2820000,-7,79794,225568,2846000,2846000,2808000,5,-90610,-2.56831E+11,9336,3640578,2,0,-0.63,-46.83,0.06,74.56
12:59:57,2820000,-18000,2820000,2819000,-9,79803,225594,2846000,2846000,2808000,5,-90601,-2.56805E+11,9336,3640578,2,0,-0.63,-46.83,0.06,74.54
12:59:58,2820000,-18000,2821000,2820000,4,79807,225605,2846000,2846000,2808000,5,-90597,-2.56794E+11,9336,3640578,2,0,-0.63,-46.83,0.06,74.55
12:59:58,2820000,-18000,2821000,2820000,-1,79808,225608,2846000,2846000,2808000,5,-90596,-2.56791E+11,9336,3640578,2,0,-0.63,-46.83,0.06,74.55
13:00:00,2820000,-18000,2821000,2820000,-1,79809,225611,2846000,2846000,2808000,5,-90595,-2.56788E+11,9336,3640578,2,0,-0.63,-46.84,0.06,74.55
13:00:02,2821000,-17000,2822000,2821000,161,79970,226065,2846000,2846000,2808000,5,-90434,-2.56334E+11,9339,3641869,2,0,-0.6,-46.93,0.06,74.95
13:00:02,2821000,-17000,2822000,2821000,-12,79982,226099,2846000,2846000,2808000,5,-90422,-2.563E+11,9339,3641869,2,0,-0.6,-46.94,0.06,74.93
13:00:02,2821000,-17000,2821000,2820000,-3,79985,226107,2846000,2846000,2808000,5,-90419,-2.56292E+11,9339,3641869,2,0,-0.6,-46.94,0.06,74.92
13:00:02,2821000,-17000,2821000,2820000,1,79986,226110,2846000,2846000,2808000,5,-90418,-2.56289E+11,9339,3641869,2,0,-0.6,-46.94,0.06,74.92
13:00:02,2821000,-17000,2821000,2820000,1,79987,226113,2846000,2846000,2808000,5,-90417,-2.56286E+11,9339,3641869,2,0,-0.6,-46.94,0.06,74.93
13:00:05,2820000,-18000,2821000,2820000,-1,79988,226116,2846000,2846000,2808000,5,-90416,-2.56283E+11,9336,3640578,2,0,-0.63,-46.94,0.06,74.92
13:00:06,2820000,-18000,2821000,2820000,-1,79989,226118,2846000,2846000,2808000,5,-90415,-2.56281E+11,9336,3640578,2,0,-0.63,-46.94,0.06,74.92
13:00:12,2821000,-17000,2821000,2820000,1,79990,226121,2846000,2846000,2808000,5,-90414,-2.56278E+11,9339,3641869,2,0,-0.6,-46.94,0.06,74.92
13:00:16,2820000,-18000,2821000,2820000,-5,79995,226135,2846000,2846000,2808000,5,-90409,-2.56264E+11,9336,3640578,2,0,-0.63,-46.94,0.06,74.92
13:00:16,2820000,-18000,2821000,2820000,-1,79996,226138,2846000,2846000,2808000,5,-90408,-2.56261E+11,9336,3640578,2,0,-0.63,-46.94,0.06,74.91
13:00:17,2820000,-18000,2821000,2820000,-1,79997,226141,2846000,2846000,2808000,5,-90407,-2.56258E+11,9336,3640578,2,0,-0.63,-46.95,0.06,74.91
